Wall time,Step,Value
1549342813.748884,15170560,2.716581344604492
1549346602.339107,15559680,2.8885459899902344
1549346752.625999,15575040,2.80951189994812
1549347188.241327,15618560,2.651583671569824
1549347391.19816,15639040,2.6658213138580322
1549349014.790603,15805440,2.5819835662841797
1549349160.192676,15820800,2.8930611610412598
1549349235.24627,15828480,2.9992523193359375
1549349492.778504,15854080,2.7832796573638916
1549349595.372297,15864320,2.951117992401123
1549349643.61772,15869440,2.8894407749176025
1549349769.963505,15882240,3.0220930576324463
1549352476.944688,16158720,2.830261468887329
1549352674.621212,16179200,2.891301155090332
1549352701.213831,16181760,2.754426956176758
1549353098.350486,16222720,3.041137218475342
1549357567.026924,16678400,2.8469018936157227
1549360111.600824,16939520,2.796210765838623
1549362321.469919,17167360,2.961617946624756
1549363564.528715,17292800,3.1364221572875977
1549366232.999737,17566720,2.779841899871826
1549368288.444338,17776640,2.7846691608428955
1549368391.451744,17786880,2.9335451126098633
1549368585.559008,17807360,2.9362266063690186
1549369580.601367,17909760,2.7777349948883057
1549369631.302992,17914880,2.9404959678649902
1549369804.803659,17932800,2.9363584518432617
1549369904.596322,17943040,2.9280765056610107
1549371035.529911,18058240,2.781497001647949
1549371359.604816,18091520,2.737502098083496
1549371434.665452,18099200,2.7743113040924072
1549371863.039906,18142720,2.772036552429199
1549371914.476715,18147840,2.8934555053710938
1549372384.369202,18196480,2.5010406970977783
1549373903.988733,18352640,2.868577480316162
1549374184.576533,18380800,2.951923131942749
1549374960.063528,18460160,2.912421703338623
1549375061.671583,18470400,2.741372585296631
1549375138.135738,18478080,2.8062314987182617
1549377765.530415,18746880,2.5645182132720947
1549378066.186966,18777600,2.8266568183898926
1549378595.950666,18831360,2.788407564163208
1549378671.204458,18839040,3.0369205474853516
1549378848.539607,18856960,2.641780138015747
1549379710.265976,18946560,2.5122997760772705
1549382928.540151,19276800,2.7084245681762695
1549383684.549961,19353600,2.9928860664367676
1549384132.972682,19399680,2.8191962242126465
1549384977.304918,19486720,3.041621446609497
1549385582.614392,19548160,2.8647069931030273
1549385931.392973,19584000,2.7825162410736084
1549387278.064525,19722240,2.741560935974121
1549389795.168982,19980800,2.748089551925659
1549390339.510618,20037120,2.9000754356384277
1549392454.427086,20252160,2.7396228313446045
1549392627.537009,20270080,2.5630810260772705
1549392756.664918,20282880,2.948164463043213
1549398443.38082,20866560,2.7084810733795166
1549398570.920747,20879360,2.626502275466919
1549399724.1244,20997120,2.686850070953369
1549401256.447648,21153280,2.871734380722046
1549402798.89861,21312000,2.8959193229675293
1549403048.206024,21337600,2.7416574954986572
1549403218.630387,21355520,2.8225884437561035
1549403368.053153,21370880,2.7068967819213867
1549403708.730894,21406720,2.5642592906951904
1549404011.940625,21437440,2.6169750690460205
1549404185.57693,21455360,2.929013967514038
1549404364.472887,21473280,2.707576274871826
1549404765.612813,21514240,2.771578311920166
1549405674.780145,21606400,2.509340763092041
1549406375.49577,21678080,2.5876152515411377
1549407756.940962,21818880,2.601268768310547
1549408762.951619,21921280,2.9253945350646973
1549408811.633538,21926400,2.778123378753662
1549409186.295377,21964800,2.9155707359313965
1549409310.639871,21977600,2.7443840503692627
1549409715.225061,22018560,2.939911365509033
1549409945.115937,22041600,2.7508413791656494
1549410562.87272,22105600,2.4863955974578857
1549412913.337463,22346240,2.7945170402526855
1549412960.347221,22351360,2.740335702896118
1549415095.859319,22571520,2.771860361099243
1549415670.677811,22630400,2.9434335231781006
1549415771.451864,22640640,2.586963653564453
1549416048.594893,22668800,3.0077786445617676
1549416072.445972,22671360,2.606055498123169
1549416224.739864,22686720,2.877030849456787
1549416991.363298,22766080,2.5802359580993652
1549417717.404967,22840320,2.507277011871338
1549418863.011458,22958080,2.667823553085327
1549418963.897037,22968320,3.1172797679901123
1549422382.383392,23319040,2.6842174530029297
1549422940.934553,23375360,2.811202049255371
1549423336.511907,23416320,2.637559413909912
1549425092.015895,23595520,2.7560551166534424
1549425701.017773,23656960,2.7319247722625732
1549426380.224356,23726080,2.5344278812408447
1549428812.980258,23974400,2.737496852874756
1549428914.850365,23984640,2.6329689025878906
1549432310.592862,24330240,2.6859331130981445
1549432360.573679,24335360,2.657918930053711
1549432788.738442,24378880,2.7542436122894287
1549433181.778593,24419840,2.814980983734131
1549435051.971093,24611840,2.8773398399353027
1549435404.547285,24647680,2.791571855545044
1549436887.335915,24798720,2.7190005779266357
1549437552.470581,24867840,2.7975664138793945
1549437625.746223,24875520,2.667144775390625
1549438222.819468,24936960,2.5941555500030518
1549438850.756944,25000960,3.0161895751953125
1549439194.654578,25036800,2.8475942611694336
1549439947.083111,25113600,2.7888314723968506
1549440099.818211,25128960,2.5342485904693604
1549440175.641666,25136640,2.709869384765625
1549441579.434598,25280000,2.553372621536255
1549442635.991917,25387520,2.644566059112549
1549442785.834696,25402880,2.6231698989868164
1549442985.459397,25423360,3.076294422149658
1549445454.207336,25676800,2.9008376598358154
1549446002.774065,25733120,2.987149477005005
1549447031.806186,25838080,2.939941883087158
